Date,Close
7/6/2015,1.26537
7/7/2015,1.2703
7/8/2015,1.2735
7/9/2015,1.27117
7/10/2015,1.2679
7/13/2015,1.2731
7/14/2015,1.27436
7/15/2015,1.2928
7/16/2015,1.29576
7/17/2015,1.2987
7/20/2015,1.2995
7/21/2015,1.29607
7/22/2015,1.30399
7/23/2015,1.3032
7/24/2015,1.3053
7/27/2015,1.30416
7/28/2015,1.2931
7/29/2015,1.2944
7/30/2015,1.30038
7/31/2015,1.3081
8/3/2015,1.3157
8/4/2015,1.3179
8/5/2015,1.31847
8/6/2015,1.3115
8/7/2015,1.3135
8/10/2015,1.30107
8/11/2015,1.31155
8/12/2015,1.2981
8/13/2015,1.30629
8/14/2015,1.3092
8/17/2015,1.3088
8/18/2015,1.306
8/19/2015,1.30966
8/20/2015,1.3081
8/21/2015,1.3169
8/24/2015,1.3256
8/25/2015,1.3318
8/26/2015,1.33364
8/27/2015,1.3233
8/28/2015,1.3213
8/31/2015,1.3169
9/1/2015,1.3215
9/2/2015,1.3279
9/3/2015,1.31859
9/4/2015,1.3256
9/7/2015,1.32993
9/8/2015,1.3212
9/9/2015,1.3239
9/10/2015,1.323
9/11/2015,1.3255
9/14/2015,1.3259
9/15/2015,1.32437
9/16/2015,1.3185
9/17/2015,1.31327
9/18/2015,1.32191
9/21/2015,1.32424
9/22/2015,1.3255
9/23/2015,1.3341
9/24/2015,1.3318
9/25/2015,1.33198
9/28/2015,1.33852
9/29/2015,1.34312
9/30/2015,1.3347
10/1/2015,1.32589
10/2/2015,1.3165
10/5/2015,1.30888
10/6/2015,1.3034
10/7/2015,1.3065
10/8/2015,1.3013
10/9/2015,1.2945
10/12/2015,1.3007
10/13/2015,1.30187
10/14/2015,1.29234
10/15/2015,1.28456
10/16/2015,1.2911
10/19/2015,1.30206
10/20/2015,1.29793
10/21/2015,1.3127
10/22/2015,1.31067
10/23/2015,1.31882
10/26/2015,1.31632
10/27/2015,1.3266
10/28/2015,1.3178
10/29/2015,1.31614
10/30/2015,1.3079
11/2/2015,1.31
11/3/2015,1.30532
11/4/2015,1.3154
11/5/2015,1.3159
11/6/2015,1.3291
11/9/2015,1.3277
11/10/2015,1.3266
11/11/2015,1.3258
11/12/2015,1.32783
11/13/2015,1.33094
11/16/2015,1.33224
11/17/2015,1.3315
11/18/2015,1.33219
11/19/2015,1.32979
11/20/2015,1.3338
11/23/2015,1.33759
11/24/2015,1.33
11/25/2015,1.32926
11/26/2015,1.32885
11/27/2015,1.33694
11/30/2015,1.33582
12/1/2015,1.33709
12/2/2015,1.33656
12/3/2015,1.33394
12/4/2015,1.33759
12/7/2015,1.35139
12/8/2015,1.3587
12/9/2015,1.35928
12/10/2015,1.3622
12/11/2015,1.37413
